cluster,sub_cluster,hard_skills,soft_skills,description,riasec_sources,simulation_example
ADVANCED MANUFACTURING,Engineering,Engineering design; CAD; prototyping; testing; technical analysis; systems thinking,Problem solving; precision; persistence,"Designs and improves products and systems that make modern manufacturing more efficient, precise, and innovative.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"Factory floor simulation: Participants are given a virtual factory floor and must optimize the layout of machines and workstations to increase efficiency. They can simulate different configurations, receiving data on production bottlenecks, throughput, and other metrics. This assesses an aptitude for logistics, process optimization, and problem-solving.

Quality control inspection: In this activity, participants act as a quality control inspector on a virtual assembly line. They are shown a series of products, some with subtle defects, and must quickly identify and flag the faulty items. This measures attention to detail, accuracy under pressure, and systematic inspection skills.
"
ADVANCED MANUFACTURING,Industrial Machinery,Machine operation; mechanical systems; CNC basics; maintenance procedures; safety practices,Responsibility; attention to safety,Powers production by operating and maintaining advanced machines that create everyday products.,Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"Factory floor simulation: Participants are given a virtual factory floor and must optimize the layout of machines and workstations to increase efficiency. They can simulate different configurations, receiving data on production bottlenecks, throughput, and other metrics. This assesses an aptitude for logistics, process optimization, and problem-solving.

Quality control inspection: In this activity, participants act as a quality control inspector on a virtual assembly line. They are shown a series of products, some with subtle defects, and must quickly identify and flag the faulty items. This measures attention to detail, accuracy under pressure, and systematic inspection skills.
"
ADVANCED MANUFACTURING,Production & Automation,Automation systems; workflow optimization; quality control; production monitoring; lean concepts,Teamwork; consistency; reliability,"Optimizes automated production systems to increase speed, quality, and consistency.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"Factory floor simulation: Participants are given a virtual factory floor and must optimize the layout of machines and workstations to increase efficiency. They can simulate different configurations, receiving data on production bottlenecks, throughput, and other metrics. This assesses an aptitude for logistics, process optimization, and problem-solving.

Quality control inspection: In this activity, participants act as a quality control inspector on a virtual assembly line. They are shown a series of products, some with subtle defects, and must quickly identify and flag the faulty items. This measures attention to detail, accuracy under pressure, and systematic inspection skills.
"
ADVANCED MANUFACTURING,Robotics,Robotics programming; control systems; automation; diagnostics; system integration,Logical reasoning; adaptability; persistence,Develops and maintains robotic systems that perform complex tasks in modern factories.,Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"Factory floor simulation: Participants are given a virtual factory floor and must optimize the layout of machines and workstations to increase efficiency. They can simulate different configurations, receiving data on production bottlenecks, throughput, and other metrics. This assesses an aptitude for logistics, process optimization, and problem-solving.

Quality control inspection: In this activity, participants act as a quality control inspector on a virtual assembly line. They are shown a series of products, some with subtle defects, and must quickly identify and flag the faulty items. This measures attention to detail, accuracy under pressure, and systematic inspection skills.
"
ADVANCED MANUFACTURING,Safety & Quality Assurance,Inspection methods; testing procedures; safety regulations; compliance documentation,Accountability; attention to detail,Protects workers and consumers by ensuring products and processes meet strict safety and quality standards.,Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"Factory floor simulation: Participants are given a virtual factory floor and must optimize the layout of machines and workstations to increase efficiency. They can simulate different configurations, receiving data on production bottlenecks, throughput, and other metrics. This assesses an aptitude for logistics, process optimization, and problem-solving.

Quality control inspection: In this activity, participants act as a quality control inspector on a virtual assembly line. They are shown a series of products, some with subtle defects, and must quickly identify and flag the faulty items. This measures attention to detail, accuracy under pressure, and systematic inspection skills.
"
AGRICULTURE,Agribusiness,Farm management; budgeting; agricultural finance; supply chain basics; market analysis,Planning; decision-making; organization,"Manages the business side of agriculture by coordinating production, finances, and markets that feed communities.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Food Product Development Simulator: This simulation focuses on the process of creating and testing a new food product. The user is part of a product development team at a major food company and must create a new product line, such as a healthy snack, from concept to market. Decision-making: Participants must consider and make choices on: (i) Formulation: Selecting ingredients, balancing nutritional content, and ensuring food safety. (ii) Sensory analysis: Interpreting virtual taste test data to refine the product for consumer appeal. (iii) Packaging: Designing packaging that is both functional and marketable. (iv) Costing: Managing the production budget and determining the final price. This simulation reveals a user's interest in research and development, problem-solving, attention to detail, and understanding consumer preferences. It highlights aptitudes relevant to food chemistry and quality assurance

 Virtual ""Farm to Table"" Supply Chain: This module simulates managing a small agribusiness that supplies produce to local restaurants and grocery stores. The user manages the virtual company's supply chain, forecasting demand, managing inventory, and handling logistics and pricing. Tasks include analyzing sales trends to determine production quantities, negotiating prices with suppliers and buyers, and developing pro forma financial statements to track profitability. Competitor actions may also require strategic adjustments. This simulation helps individuals infer their aptitude for business management, financial analysis, negotiation, and market awareness"
AGRICULTURE,Agricultural Technology & Automation,Precision agriculture tools; equipment operation; automation systems; maintenance; data collection,Adaptability; technical problem solving,"Uses modern technology and automation to make farming more efficient, data-driven, and sustainable.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Food Product Development Simulator: This simulation focuses on the process of creating and testing a new food product. The user is part of a product development team at a major food company and must create a new product line, such as a healthy snack, from concept to market. Decision-making: Participants must consider and make choices on: (i) Formulation: Selecting ingredients, balancing nutritional content, and ensuring food safety. (ii) Sensory analysis: Interpreting virtual taste test data to refine the product for consumer appeal. (iii) Packaging: Designing packaging that is both functional and marketable. (iv) Costing: Managing the production budget and determining the final price. This simulation reveals a user's interest in research and development, problem-solving, attention to detail, and understanding consumer preferences. It highlights aptitudes relevant to food chemistry and quality assurance

 Virtual ""Farm to Table"" Supply Chain: This module simulates managing a small agribusiness that supplies produce to local restaurants and grocery stores. The user manages the virtual company's supply chain, forecasting demand, managing inventory, and handling logistics and pricing. Tasks include analyzing sales trends to determine production quantities, negotiating prices with suppliers and buyers, and developing pro forma financial statements to track profitability. Competitor actions may also require strategic adjustments. This simulation helps individuals infer their aptitude for business management, financial analysis, negotiation, and market awareness"
AGRICULTURE,Animal Systems,Animal nutrition; health monitoring; breeding systems; veterinary fundamentals,Responsibility; empathy; attention to detail,Supports animal health and production systems that supply food and agricultural products.,Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Food Product Development Simulator: This simulation focuses on the process of creating and testing a new food product. The user is part of a product development team at a major food company and must create a new product line, such as a healthy snack, from concept to market. Decision-making: Participants must consider and make choices on: (i) Formulation: Selecting ingredients, balancing nutritional content, and ensuring food safety. (ii) Sensory analysis: Interpreting virtual taste test data to refine the product for consumer appeal. (iii) Packaging: Designing packaging that is both functional and marketable. (iv) Costing: Managing the production budget and determining the final price. This simulation reveals a user's interest in research and development, problem-solving, attention to detail, and understanding consumer preferences. It highlights aptitudes relevant to food chemistry and quality assurance

 Virtual ""Farm to Table"" Supply Chain: This module simulates managing a small agribusiness that supplies produce to local restaurants and grocery stores. The user manages the virtual company's supply chain, forecasting demand, managing inventory, and handling logistics and pricing. Tasks include analyzing sales trends to determine production quantities, negotiating prices with suppliers and buyers, and developing pro forma financial statements to track profitability. Competitor actions may also require strategic adjustments. This simulation helps individuals infer their aptitude for business management, financial analysis, negotiation, and market awareness"
AGRICULTURE,Food Science & Processing,Food safety practices; processing methods; quality testing; sanitation standards,Reliability; consistency,"Transforms raw agricultural products into safe, high-quality food through science and technology.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Food Product Development Simulator: This simulation focuses on the process of creating and testing a new food product. The user is part of a product development team at a major food company and must create a new product line, such as a healthy snack, from concept to market. Decision-making: Participants must consider and make choices on: (i) Formulation: Selecting ingredients, balancing nutritional content, and ensuring food safety. (ii) Sensory analysis: Interpreting virtual taste test data to refine the product for consumer appeal. (iii) Packaging: Designing packaging that is both functional and marketable. (iv) Costing: Managing the production budget and determining the final price. This simulation reveals a user's interest in research and development, problem-solving, attention to detail, and understanding consumer preferences. It highlights aptitudes relevant to food chemistry and quality assurance

 Virtual ""Farm to Table"" Supply Chain: This module simulates managing a small agribusiness that supplies produce to local restaurants and grocery stores. The user manages the virtual company's supply chain, forecasting demand, managing inventory, and handling logistics and pricing. Tasks include analyzing sales trends to determine production quantities, negotiating prices with suppliers and buyers, and developing pro forma financial statements to track profitability. Competitor actions may also require strategic adjustments. This simulation helps individuals infer their aptitude for business management, financial analysis, negotiation, and market awareness"
AGRICULTURE,Plant Systems,Agronomy; soil science; pest management; crop systems; sustainability practices,Observation; environmental responsibility,"Grows and manages crops using science-based practices that protect soil, plants, and ecosystems.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Food Product Development Simulator: This simulation focuses on the process of creating and testing a new food product. The user is part of a product development team at a major food company and must create a new product line, such as a healthy snack, from concept to market. Decision-making: Participants must consider and make choices on: (i) Formulation: Selecting ingredients, balancing nutritional content, and ensuring food safety. (ii) Sensory analysis: Interpreting virtual taste test data to refine the product for consumer appeal. (iii) Packaging: Designing packaging that is both functional and marketable. (iv) Costing: Managing the production budget and determining the final price. This simulation reveals a user's interest in research and development, problem-solving, attention to detail, and understanding consumer preferences. It highlights aptitudes relevant to food chemistry and quality assurance

 Virtual ""Farm to Table"" Supply Chain: This module simulates managing a small agribusiness that supplies produce to local restaurants and grocery stores. The user manages the virtual company's supply chain, forecasting demand, managing inventory, and handling logistics and pricing. Tasks include analyzing sales trends to determine production quantities, negotiating prices with suppliers and buyers, and developing pro forma financial statements to track profitability. Competitor actions may also require strategic adjustments. This simulation helps individuals infer their aptitude for business management, financial analysis, negotiation, and market awareness"
